Title,Registered Editors,IP Editors,Bot Editors
Koala,0,1343,67
Lion,0,1179,105
Cougar,0,1913,68
Bat,0,1132,87
Beaver,0,1291,64
Parinda,0,107,25
Mayabazar,0,157,28
Not_One_Less,0,50,28
On_the_Job,0,93,19
Oriental_Film,0,4,14
Ambohimanga,0,30,31
Banff_National_Park,0,343,53
"Barren_Island,_Brooklyn",0,18,17
Old_Pine_Church,0,7,10
Richard_Hakluyt,0,62,37
Gregorian_mission,0,30,20
Halifax_Explosion,0,941,43
Ine_of_Wessex,0,35,29
Justus,0,40,27
Robert_Kaske,0,2,8
Flower_Drum_Song,0,89,24
Tom_Holland,0,601,37
Stanley_Holloway,0,183,33
Dan_Leno,0,44,23
George_Robey,0,30,19
Great_Stink,0,228,20
Rachel_Carson,0,1179,60
Draining_and_development_of_the_Everglades,0,42,12
Sustainable_energy,0,503,43
Digital_media_use_and_mental_health,0,31,16
Supermarine_S.4,0,8,20
Cotswold_Olimpick_Games,0,53,19
Ice_dance,0,113,35
Retiarius,0,113,19
Stanley_Cup,0,1102,40
Construction_of_the_World_Trade_Center,0,136,32
Rolls-Royce_Merlin,0,239,27
Vannevar_Bush,0,267,46
Barry_Voight,0,14,15
Norman_Selfe,0,17,12
Addax,0,144,34
Jungle_cat,0,110,49
Bear,0,1135,87
Leopard,0,1487,77
Mammal,0,1904,83
Arwen,0,256,26
The_Babadook,0,441,18
Bad_Genius,0,34,11
Ave_Maryam,0,0,3
Bantha,0,80,17
Mount_Garibaldi,0,67,32
Nevadaplano,0,1,4
Olca-Paruma,0,2,12
Slavonia,0,110,37
Yang_Shoujing,0,1,5
Cynesige,0,3,7
Doune_Castle,0,48,20
Nicholas_Exton,0,1,7
Fajsz,0,11,15
Robert_Foliot,0,1,8
A_Change_in_Me,0,33,11
Jonathan_Groff,0,632,41
Marilyn_Maye,0,20,11
Show_Boat,0,190,30
Brooklyn_Nelson,0,7,5
Bisphenol_A,0,509,48
The_Clean_Tech_Revolution,0,9,13
John_Marburger,0,23,19
Royal_Society,0,288,55
Naledi_Pandor,0,47,17
Vinkensport,0,11,10
Summit_Series,0,339,32
Single_skating,0,39,15
Juldarigi,0,2,7
National_Football_League,0,2680,57
Lowthian_Bell,0,12,22
Buro_Happold,0,71,20
Hanford_Engineer_Works,0,2,5
Project_Alberta,0,13,6
Raymix,0,4,6
Ferret,0,1797,50
Amphicyon,0,35,24
Enhydriodon,0,9,5
Bachitherium,0,0,2
Beluga_whale,0,1003,73
Alien_3,0,695,58
Chinese_animation,0,73,25
Color_temperature,0,279,27
Castle_in_the_Sky,0,610,53
Cobra_Commander,0,479,27
Bay_of_Fundy,0,246,46
East_Java,0,173,43
Burzenland,0,18,27
Fraser_Valley,0,51,17
Gazetteer,0,63,28
Bernward_Doors,0,12,10
Birka,0,48,33
Bolad,0,6,14
Block_book,0,6,8
Boethius,0,189,48
Dave_Stamper,0,2,17
Jerome_Kern,0,104,37
Linda_Lavin,0,133,33
Spamalot,0,727,31
Leslie_Stuart,0,9,19
DNA_profiling,0,876,45
Superfund,0,134,19
Greenhouse_gas,0,1731,63
MKUltra,0,1355,49
Biosafety,0,38,17
J.League,0,23,12
Layback_spin,0,26,17
Diving_(sport),0,635,41
Jockstrap,0,354,37
BASE_jumping,0,577,44
MERCON,0,4,5
Mast_radiator,0,27,8
Forging,0,256,37
Ringworld,0,246,29
LIGA,0,16,16
Alpaca,0,551,53
Barbary_lion,0,349,48
Bengal_fox,0,41,32
Protypotherium,0,3,15
Alpine_goat,0,53,14
Aerial_Gunner,0,5,8
American_Sniper,0,513,23
Alex_&_Eve,0,6,6
American_Hustle,0,448,15
AmeriQua,0,3,4
Batu_Ferringhi,0,46,20
Bay_of_Dili,0,0,3
Benue_State,0,94,30
Bingen_Forest,0,1,5
Boram_block,0,0,0
Chartism,0,314,37
Jean_Cholet,0,1,9
Christ_I,0,9,5
Christmas_market,0,150,31
Cimabue,0,76,42
Barbara_Cook,0,68,31
Nick_Cordero,0,134,12
EJay_Day,0,20,14
Daisy_Burrell,0,5,10
Renee_Brna,0,0,8
Nerve_agent,0,296,30
Citizen_science,0,155,26
DARPA,0,416,47
HeLa,0,281,39
Flint_water_crisis,0,439,26
STL_Premier,0,1,3
Danish_Sait,0,35,11
Scheels,0,81,12
Sandboarding,0,143,22
Sportsnet,0,282,26
AECOM,0,171,29
Brake_fluid,0,170,23
Boffin,0,114,17
Cast_iron,0,389,42
Backflow,0,5,5
Abo_bat,0,0,14
Anancus,0,23,15
Amphictis,0,1,1
Adapis,0,3,12
Anoa,0,36,30
A_Band_Apart,0,68,15
A_Blind_Bargain,0,10,10
A_Bone_for_a_Bone,0,10,8
A_Dark_Place,0,2,1
A_Date_to_Skate,0,2,2
Bawan,0,0,1
Atka_Iceport,0,1,8
Anti_Naugawan,0,0,0
Aztec_Pass,0,0,1
Bagan_Serai,0,16,12
Aicard,0,3,14
Saint_Amaro,0,16,13
Jacob_Anatoli,0,6,9
Andover_Priory,0,0,2
Perry_Anderson,0,68,26
Blake_Allen,0,6,6
Babes_in_Arms,0,47,19
Altar_Boyz,0,78,10
Amy_Augarde,0,0,0
Tony_Azito,0,8,14
Avi_Loeb,0,59,17
Vern_Ehlers,0,43,24
Food_policy,0,13,17
Chad_Mirkin,0,104,16
Gene_bank,0,67,11
Richard_Sadiv,0,5,1
Salburun,0,1,4
Samoa_rules,0,5,7
Ronojoy_Sen,0,0,4
Secutor,0,47,17
Barrel_nut,0,7,3
Body_roll,0,9,2
Bodycote,0,11,5
Boston_Metal,0,0,3
Cable_gland,0,23,6
Abaza_goat,0,0,3
Achyrodon,0,0,2
Actiocyon,0,0,0
Altacreodus,0,0,5
Altai_mole,0,3,12
11_Flowers,0,0,3
11.6,0,1,3
11:55,0,5,4
12_Golden_Ducks,0,3,5
12-12-12,0,2,2
Ashoa,0,0,2
Abgahi,0,0,3
Abyy,0,1,4
Afna,0,1,0
Afrapol,0,0,3
Argbed,0,1,6
Argebad,0,1,3
Athulf,0,0,9
Athaloc,0,3,4
Astati,0,3,3
Ingrid_Cole,0,1,3
Homer_Curran,0,1,5
Forever_Plaid,0,32,4
Fela!,0,26,11
Jesse_Greer,0,2,3
Craig_Mundie,0,28,13
Genome_Canada,0,2,2
ITU-D,0,4,2
OPEN100,0,0,0
Shannon_Blunt,0,3,1
Mahdi_Saad,0,3,1
Saat_Kadam,0,14,4
Nick_Sachvie,0,10,0
Takao_Sakai,0,0,2
Greg_Sebald,0,0,2
Acorn_nut,0,4,5
Band_clamp,0,3,4
Back_boiler,0,9,7
CompAir,0,9,4
Caking,0,4,2
